,Santo Antônio,Centro,Macedo,Izabel,Restinga,Canudos,Rui Ramos,Vila Nova,Área Militar,Boa Vista,Joaquim Fonseca Milano,Vera Cruz,Sepé Tiarajú,Ibirapuitã,Oswaldo Aranha,Promorar,Honório Lemes,Airton Senna,Getúlio Vargas,Nova Brasília,Centenário,Tancredo Neves,Capão do Angico,Segabinazi,Santos Dumont,Dr. Romário,Palma,Favila,Saint Pastous,N.S. Conceição Aparecida,Ulisses Guimarães,Balneário Caverá,Projetado,Cidade Alta,Assunção,Medianeira,Praça da Lagoa,Área Militar,Atlântida,Olhos D'água,Piola,Gamino,Renascer,Alberto Grande,Independência,São João,Porto dos Aguateiros,José de Abreu,Anita Garibaldi,Fronteira Oeste,Novo Lar,Lara,Vila Fenix,Inez,Kennedy,Jardim Planalto,Pedreiras,Emílio Zuneda,Canjiqueira,Cel. Enio,Saudade,Liberdade,Prado,Progresso,Vila Grande
Novo Lar,5723,4788,4943,4320,4797,6972,7233,6614,8115,5073,4073,3455,3392,6817,7345,7888,8573,9007,9095,9541,7461,6048,9144,9644,9123,12639,12827,12249,11303,17592,23621,7811,8000,2364,2910,3656,2136,3109,4083,3440,4349,4644,5490,876,3341,3345,3911,5563,2697,511,0,1653,5534,1224,671,489,1525,2653,2776,4218,1130,1616,2124,2363,2959
Lara,4235,3300,3455,2832,3309,5484,5745,5126,6627,3586,2586,2387,2482,5329,5857,6400,7085,7519,7607,8053,5973,4560,7656,8156,7635,11151,11339,10761,9815,16104,22133,6158,6512,876,1272,2003,483,1456,2730,3645,2696,2991,3837,729,1853,1857,2423,3910,2902,1094,1551,0,5843,381,883,1209,1268,1740,1756,2879,475,961,1867,1708,2304
Vila Fenix,10018,9083,9238,8615,9092,11267,11528,10909,12410,9369,8369,7904,7841,11112,11640,12183,12868,13302,13390,13836,11756,10343,13439,13939,13418,16934,17122,16544,15598,21887,27916,11941,12295,6659,7055,7786,6266,7239,8266,7975,8479,8774,9620,5059,7636,7640,8206,9693,7232,4866,5377,5783,0,5265,5311,5637,6366,7102,7225,8662,5579,6065,6965,6812,7408
Inez,4753,3818,3973,3350,3827,6002,6263,5644,7145,4104,3104,2639,2576,5847,6375,6918,7603,8037,8125,8571,6491,5078,8174,8674,8153,11669,11857,11279,10333,16622,22651,6676,7030,1394,1790,2521,1001,1974,3083,3264,3214,3509,4355,348,2371,2375,2941,4428,2521,713,1224,518,5462,0,722,1048,1107,1837,1960,3397,314,800,1706,1547,2143
Kennedy,5052,4117,4272,3649,4126,6301,6562,5943,7444,4402,3402,2784,2721,6146,6674,7217,7902,8336,8424,8870,6790,5377,8473,8973,8452,11968,12156,11578,10632,16921,22950,7140,7329,1693,2239,2985,1465,2438,3712,3726,3678,3973,4819,810,2670,2674,3240,4892,2983,445,668,982,5468,832,0,326,1055,1982,2105,3547,459,945,1654,1692,2288
Jardim Planalto,5378,4443,4598,3975,4452,6627,6888,6269,7770,4728,3728,3110,3047,6472,7000,7543,8228,8662,8750,9196,7116,5703,8799,9299,8778,12294,12482,11904,10958,17247,23276,7466,7655,2019,2565,3311,1791,2764,4038,3929,4004,4299,5145,1136,2996,3000,3566,5218,3186,771,489,1308,5794,1158,326,0,1331,2308,2431,3873,785,1271,1930,2018,2614
Pedreiras,5110,4612,4330,3707,3955,6778,7057,6438,7939,4187,3187,2569,2142,6641,7169,7712,8397,8831,8919,9365,7285,5872,8968,9468,8947,12463,12651,12073,11127,17416,23445,7673,7824,2188,2734,3518,1998,2971,4245,4558,4211,4506,5352,1642,3165,3169,3735,5425,3815,1277,1302,1515,6300,1365,832,1097,0,1767,1890,4042,992,730,599,1102,1698
Emílio Zuneda,3343,3791,2563,1940,2188,5011,6236,5617,7118,2420,1420,802,742,5820,6348,6891,7576,8010,8098,8544,6464,5051,8147,8647,8126,11642,11830,11252,10306,16595,22624,7183,7003,1368,1914,3028,2323,3296,4570,4954,4536,4831,5677,2038,2345,2349,2915,5750,4211,2170,2393,1840,7152,1690,1725,2051,1917,0,2215,3371,1317,1055,1781,1278,682
Canjiqueira,4413,3478,3633,3010,3487,5662,5923,5304,6805,3764,2764,2565,2660,5507,6035,6578,7263,7697,7785,8231,6151,4738,7834,8334,7813,11329,11517,10939,9993,16282,22311,6869,6690,1054,1600,2714,2114,3087,4361,5095,4327,4622,5468,2179,2031,2035,2601,5541,4352,2311,2534,1981,7293,1831,1866,2192,2058,1918,0,2519,1458,1196,2446,1943,2539
Cel. Enio,6176,5241,5396,4773,5250,7425,7686,7067,8568,5527,4527,4328,4423,7270,7798,8341,9026,9460,9548,9994,7914,6501,9597,10097,9576,13092,13280,12702,11756,18045,24074,8632,8453,2817,3363,4477,3877,4850,6124,6641,6090,6385,7231,3725,3794,3798,4364,7304,5898,3857,4080,3527,8839,3377,3412,3738,3797,3681,2523,0,3004,3221,4396,3968,4363
Saudade,4593,3658,3813,3190,3667,5842,6103,5484,6985,3943,2943,2325,2262,5687,6215,6758,7443,7877,7965,8411,6331,4918,8014,8514,7993,11509,11697,11119,10173,16462,22491,6681,6870,1234,1780,2526,1006,1979,3253,3637,3219,3514,4360,721,2211,2215,2781,4433,2894,853,1076,523,5835,373,408,734,793,1523,1646,3088,0,486,1392,1233,1829
Liberdade,4380,3882,3600,2977,3225,6048,6327,5708,7209,3457,2457,1839,1776,5911,6439,6982,7667,8101,8189,8635,6555,5142,8238,8738,8217,11733,11921,11343,10397,16686,22715,6943,7094,1458,2004,2788,1268,2241,3515,3899,3481,3776,4622,983,2435,2439,3005,4695,3156,1115,1338,785,6097,635,670,996,862,1037,1160,3312,262,0,1250,747,1343
Prado,4572,5000,3792,3169,3417,6240,7445,6826,8327,3649,2649,2031,1543,7029,7557,8100,8785,9219,9307,9753,7673,6260,9356,9856,9335,12851,13039,12461,11515,17804,23833,8061,8212,2576,3122,3906,2386,3359,4633,5017,4599,4894,5740,2101,3553,3557,4123,5813,4274,1876,1901,1903,6899,1753,1431,1696,599,1781,2278,4430,1380,1118,0,503,1099
Progresso,4069,4497,3289,2666,2914,5737,6942,6323,7824,3146,2146,1528,1040,6526,7054,7597,8282,8716,8804,9250,7170,5757,8853,9353,8832,12348,12536,11958,11012,17301,23330,7558,7709,2073,2619,3403,1883,2856,4130,4514,4096,4391,5237,1598,3050,3054,3620,5310,3771,1730,1953,1400,6712,1250,1285,1611,1102,1278,1775,3927,877,615,503,0,596
Vila Grande,3473,3921,2693,2070,2318,5141,6366,5747,7248,2550,1550,932,444,5950,6478,7021,7706,8140,8228,8674,6594,5181,8277,8777,8256,11772,11960,11382,10436,16725,22754,7865,7133,2050,2596,3710,2479,3452,4726,5110,4692,4987,5833,2194,3027,3031,3597,5906,4367,2326,2549,1996,7308,1846,1881,2207,1698,682,2371,4053,1473,1211,1099,596,0
