,Santo Antônio,Centro,Macedo,Izabel,Restinga,Canudos,Rui Ramos,Vila Nova,Área Militar,Boa Vista,Joaquim Fonseca Milano,Vera Cruz,Sepé Tiarajú,Ibirapuitã,Oswaldo Aranha,Promorar,Honório Lemes,Airton Senna,Getúlio Vargas,Nova Brasília,Centenário,Tancredo Neves,Capão do Angico,Segabinazi,Santos Dumont,Dr. Romário,Palma,Favila,Saint Pastous,N.S. Conceição Aparecida,Ulisses Guimarães,Balneário Caverá,Projetado,Cidade Alta,Assunção,Medianeira,Praça da Lagoa,Área Militar,Atlântida,Olhos D'água,Piola,Gamino,Renascer,Alberto Grande,Independência,São João,Porto dos Aguateiros,José de Abreu,Anita Garibaldi,Fronteira Oeste,Novo Lar,Lara,Vila Fenix,Inez,Kennedy,Jardim Planalto,Pedreiras,Emílio Zuneda,Canjiqueira,Cel. Enio,Saudade,Liberdade,Prado,Progresso,Vila Grande
Ibirapuitã,2927,1730,3252,3418,3895,3914,4175,3556,4745,4252,3938,4556,5044,0,528,1071,1756,2190,2278,2724,644,2990,2327,2827,2306,5822,6010,5432,4486,10775,16804,10095,1183,4637,4826,5940,5574,4745,7804,7513,5985,6280,7126,6461,3619,3961,2775,7199,8610,6826,7075,5732,11575,6113,6407,6733,6792,5365,5517,6640,5999,6216,6587,6084,5488
Oswaldo Aranha,3455,2258,3780,3946,4423,4442,4703,4084,5273,4780,4466,5084,5572,528,0,726,1411,1845,1933,2379,1172,3518,2855,3355,2834,6350,6538,5960,5014,11303,17332,10623,1711,5165,5354,6468,6102,5273,8332,8041,6513,6808,7654,6989,4147,4489,3303,7727,9138,7354,7603,6260,12103,6641,6935,7261,7320,5893,6045,7168,6527,6744,7115,6612,6016
Promorar,4066,2869,4391,4557,5034,5053,5314,4695,5884,5391,5077,5695,6183,1139,734,0,685,1119,1207,1653,1783,4129,2484,2984,2463,5979,6167,5589,4643,10932,16961,11234,1340,5776,5965,7079,6713,5884,8943,8652,7124,7419,8265,7600,4758,5100,3914,8338,9749,7965,8214,6871,12714,7252,7546,7872,7931,6504,6656,7779,7138,7355,7726,7223,6627
Honório Lemes,4762,3565,5087,5253,5730,5749,6010,5391,6580,6087,5773,6391,6879,1835,1430,696,0,949,1037,1483,2479,4825,3120,3620,3099,6615,6803,6225,5279,11568,17597,11930,1976,6472,6661,7775,7409,6580,9639,9348,7820,8115,8961,8296,5454,5796,4610,9034,10445,8661,8910,7567,13410,7948,8242,8568,8627,7200,7352,8475,7834,8051,8422,7919,7323
Airton Senna,5184,3987,5509,5675,6152,6171,6432,5813,7002,6509,6195,6813,7301,2257,1852,1118,949,0,88,534,2901,5247,3432,3932,3411,6927,7115,6537,5591,11880,17909,12352,2288,6894,7083,8197,7831,7002,10061,9770,8242,8537,9383,8718,5876,6218,5032,9456,10867,9083,9332,7989,13832,8370,8664,8990,9049,7622,7774,8897,8256,8473,8844,8341,7745
Getúlio Vargas,5272,4075,5597,5763,6240,6259,6520,5901,7090,6597,6283,6901,7389,2345,1940,1206,1037,88,0,447,2989,5335,3370,3870,3349,6865,7053,6475,5529,11818,17847,12440,2226,6982,7171,8285,7919,7090,10149,9858,8330,8625,9471,8806,5964,6306,5120,9544,10955,9171,9420,8077,13920,8458,8752,9078,9137,7710,7862,8985,8344,8561,8932,8429,7833
Nova Brasília,5718,4521,6043,6209,6686,6705,6966,6347,7536,7043,6729,7347,7835,2791,2386,1652,1483,534,447,0,2909,5781,2923,3423,2902,6418,6606,6028,5082,11371,17400,12886,1779,7428,7617,8731,8365,7536,10595,10304,8776,9071,9917,9252,6410,6752,5566,9990,11401,9617,9866,8523,14366,8904,9198,9524,9583,8156,8308,9431,8790,9007,9378,8875,8279
Centenário,6824,5627,7149,7315,7792,7811,8072,7453,8642,8149,7835,8453,8941,3897,4425,4302,4616,4928,4890,4443,0,6887,2186,4425,2914,5681,5869,5291,4345,10634,16663,13992,2781,8534,8723,9837,9471,8642,11701,11410,9882,10177,11023,10358,7516,7858,6672,11096,12507,10723,10972,9629,15472,10010,10304,10630,10689,9262,9414,10537,9896,10113,10484,9981,9385
Tancredo Neves,2162,965,2487,2653,3130,3149,3410,2791,4213,3487,3173,3791,4279,2994,3522,4065,4750,5184,5272,5718,3638,0,5321,5821,5300,8816,9004,8426,7480,13769,19798,9330,4177,3872,4061,5175,4932,5905,7179,8227,7145,7440,8286,5696,2854,3196,2010,8359,7869,6061,6310,4967,10810,5348,5642,5968,6027,4600,4752,5875,5234,5451,5822,5319,4723
Capão do Angico,5354,4157,5679,5845,6322,6341,6602,5983,7172,6679,6365,6983,7471,2427,2955,2716,3030,3342,3304,2857,2209,5417,0,2723,928,3495,3683,3105,2159,8448,14477,12522,1195,7064,7253,8367,8001,7172,10231,9940,8412,8707,9553,8888,6046,6388,5202,9626,11037,9253,9502,8159,14002,8540,8834,9160,9219,7792,7944,9067,8426,8643,9014,8511,7915
